SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Queensferry Primary School,"Burgess Road, South Queensferry",EH30 9NX,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5518024,331 1349,331 5771,www.queensferry-pri.edin.sch.uk,313091,678034
Ratho Primary School,"1 School Wynd, Ratho",EH28 8TT,Primary,ND Primary,ND,YES,,N/A,South West,Pentland Hills,2,N/A,West,5540623,333 1293,333 2847,www.ratho.edin.sch.uk,313594,670776
Roseburn Primary School,"64 Roseburn Street, Edinburgh",EH12 5PL,Primary,ND Primary,ND,YES,,N/A,West,Corstorphine/Murrayfield,6,N/A,Central,5528224,337 6096,476 7810,www.roseburn.edin.sch.uk,322864,672969
Royal Mile Primary School,"86 Canongate, Edinburgh",EH8 8BZ,Primary,ND Primary,ND,YES,,N/A,South,City Centre,11,Southside,Central,5541727,556 3347,557 9186,www.royalmile.edin.sch.uk,326582,673816
Sciennes Primary School,"10 Sciennes Road, Edinburgh",EH9 1LG,Primary,ND Primary,ND,,,N/A,South,Southside/Newington,15,N/A,South,5528526,667 1243,667 1243,www.sciennes.edin.sch.uk,325901,672338
Sighthill Primary School,"1 Calder Park, Edinburgh",EH11 4NF,Primary,ND Primary,ND,YES,,N/A,South West,Sighthill/Gorgie,7,Wester Hailes,Pentlands,5528623,453 2464,442 2842,www.sighthillprimary.btik.com,319300,670420
South Morningside Primary School,"116 Comiston Road, Edinburgh",EH10 5QN,Primary,ND Primary,ND,YES,,N/A,South,Meadows/Morningside,10,N/A,Pentlands,5528925,447 5446,446 9839,www.southmorningside.edin.sch.uk,324340,670470
St Catherine's RC Primary School,"30 Gracemount Drive, Edinburgh",EH16 6RN,Primary,RC Primary,RC,YES,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5529220,664 4257,672 2919,none,327818,668449
St Cuthbert's RC Primary School,"9 Hutchison Crossway, Edinburgh",EH14 1RP,Primary,RC Primary,RC,,,N/A,West,Fountainbridge/Craiglockhart,9,N/A,Central,5529328,443 2621,443 9298,www.stcuthberts.edin.sch.uk,322538,671552
St David's RC Primary School (Edin),"4 West Pilton Crescent, Edinburgh",EH4 4EP,Primary,RC Primary,RC,YES,,N/A,North,Forth,4,North Edinburgh,North and Leith,5529425,332 3500,332 6085,none,322108,676306
St Francis' RC Primary School,"20 Moffat Way, Edinburgh",EH16 4PY,Primary,RC Primary,RC,,,N/A,East,Portobello/Craigmillar,17,Craigmillar,East,5529522,661 3053,621 6603,www.st-francis.ik.org,329645,671934
St John Vianney RC Primary School,"17 Ivanhoe Crescent, Edinburgh",EH16 6AU,Primary,RC Primary,RC,YES,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5529824,664 1742,672 2854,none,327760,670120
St John's RC Primary School,"Hamilton Terrace, Edinburgh",EH15 1NB,Primary,RC Primary,RC,YES,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5529727,669 1363,657 3122,www.stjohnsportobello.ik.org,330038,673454
St Joseph's RC Primary School (Edin),"Saughton Road, Edinburgh",EH11 3RQ,Primary,RC Primary,RC,YES,,N/A,West,Sighthill/Gorgie,7,Broomhouse,Pentlands,5529921,443 4591,444 2802,www.stjosephsprimary.ik.org,320546,671330
