"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Craigleith Road",Craigleith,"Orchard Place","End of cul de sac",150.5,1B,P020_Blackhall_Craig
"Craigleith Road",Craigleith,"South Groathill Avenue","Craigleith Hill",264.5,1B,P020_Blackhall_Craig
"Craigleith Road",Craigleith,"Orchard Bank","Orchard Place",91.14,1B,P020_Blackhall_Craig
"Craigleith Road",Craigleith,"Orchard Drive","Craigleith Hill Crescent",57.97,1B,P020_Blackhall_Craig
"Craiglockhart Avenue","Wester Craiglockhart","Craiglockhart Gardens","Craiglockhart Loan",109.8,1B,P029_Gorgie_Slatefor
"Craiglockhart Avenue","Wester Craiglockhart","Colinton Road","Craiglockhart Drive South",207.2,1B,P029_Gorgie_Slatefor
"Craiglockhart Avenue","Wester Craiglockhart","Craiglockhart Loan","Craiglockhart Drive South",142.4,1B,P029_Gorgie_Slatefor
"Craiglockhart Avenue","Wester Craiglockhart","Lanark Road","Craiglockhart Gardens",182,1B,P029_Gorgie_Slatefor
"Craigmillar Castle Avenue",Craigmillar,"Craigmillar Castle Avenue","Craigmillar Castle Avenue",48.27,1B,P021_Duddingston
"Craigmillar Castle Avenue",Craigmillar,"Greendykes Road","Craigmillar Castle Avenue",84.46,1B,P021_Duddingston
"Craigmillar Castle Avenue",Craigmillar,"Craigmillar Castle Avenue","Craigmillar Castle Loan",97.77,1B,P021_Duddingston
"Craigmillar Castle Avenue",Craigmillar,"Craigmillar Castle Loan","End of cul de sac",107,1B,P021_Duddingston
"Craigmillar Castle Avenue",Craigmillar,"Niddrie Mains Road","Greendykes Road",150.5,1B,P021_Duddingston
"Craigmillar Castle Gardens",Craigmillar,"Castleview Avenue","Craigmillar Castle Gardens",110.4,1B,P021_Duddingston
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Craigmillar Castle Gardens",37,1B,P021_Duddingston
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Peffermill Road",58.53,1B,P021_Duddingston
"Craigmillar Castle Gardens",Craigmillar,"Craigmillar Castle Gardens","Craigmillar Castle Gardens",109.1,1B,P021_Duddingston
"Craigmillar Castle Loan",Craigmillar,"Craigmillar Castle Avenue","Castlepark Gait",178.7,1B,P021_Duddingston
"Craigmillar Castle Loan",Craigmillar,"Castlepark Gait","Niddrie Mains Road",92.68,1B,P021_Duddingston
"Craigmillar Park",Mayfield,"Craigmillar Park","Wilton Road",116.4,1B,P018_Sciennes_Newing
"Craigmillar Park",Mayfield,"Lady Road","Craigmillar Park",46.41,1B,P018_Sciennes_Newing
"Craigmillar Park",Mayfield,"East Savile Road","Ventnor Terrace",117.7,1B,P018_Sciennes_Newing
"Craigmillar Park",Mayfield,"East Suffolk Road","East Savile Road",126.2,1B,P018_Sciennes_Newing
"Craigmillar Park",Mayfield,"Wilton Road","East Suffolk Road",233.3,1B,P018_Sciennes_Newing
"Craigmount Avenue North",Craigmount,"Craigmount Way","Craigmount Brae",100.4,1B,P014_Clermiston_Cram
"Craigmount Avenue North",Craigmount,"Craigmount Loan","Craigmount Way",210.3,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","End of cul de sac",31.05,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","Craigmount Brae",91.32,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","End of cul de sac",70.25,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","End of cul de sac",24.46,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","End of cul de sac",53.32,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","Craigmount Brae",48.29,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Brae","Craigmount Brae",81.7,1B,P014_Clermiston_Cram
"Craigmount Brae",Craigmount,"Craigmount Avenue North","Craigmount Brae",104.5,1B,P014_Clermiston_Cram
"Craigmount Way",Craigmount,"Craigmount Avenue North","Drum Brae South",80.78,1B,P014_Clermiston_Cram
"Craigour Drive",,"Moredunvale Road","Craigour Place",49.17,1A,P004_Inch_Moredun
"Craigour Place",Moredun,"Craigour Drive","Craigour Place",94.05,1A,P004_Inch_Moredun
"Craigour Place",Moredun,"Craigour Place","Craigour Place",76.2,1A,P004_Inch_Moredun
"Craigs Road","North Gyle","Craigmount Avenue","Drum Brae South",115,1B,P013_Corstorphine
"Craigs Road","North Gyle","Craigs Loan","Craigmount Avenue",140.3,1B,P013_Corstorphine
"Craigs Road","North Gyle","Craigmount Grove","Craigs Drive",52.81,1B,P013_Corstorphine
"Craigs Road","North Gyle","Craigmount Grove","Craigs Loan",157.2,1B,P013_Corstorphine
"Craigs Road","North Gyle","Craigs Drive","North Gyle Road",26.48,1B,P013_Corstorphine
"Craigs Road","North Gyle","North Gyle Road","Craigievar Wynd",347.4,1B,P013_Corstorphine
"Cramond Crescent",Cramond,"Cramond Terrace","End of cul de sac",63.29,1B,P014_Clermiston_Cram
"Cramond Crescent",Cramond,"Cramond Terrace","Whitehouse Road",74.03,1B,P014_Clermiston_Cram
"Cramond Glebe Road",Cramond,"Whitehouse Road","Cramond Glebe Terrace",122.7,1B,P014_Clermiston_Cram
"Cramond Road North",Cramond,"Cramond Road North","Gamekeeper's Road",62.29,1B,P014_Clermiston_Cram
"Cramond Road North",Cramond,"Cramond Place","Cramond Road North",215.2,1B,P014_Clermiston_Cram
"Cramond Road North",Cramond,"Cramond Glebe Road","Cramond Place",134.3,1B,P014_Clermiston_Cram
"Cramond Road South",Silverknowes,"Silverknowes Terrace","Cramond Road South",146.5,1B,P019_DavidsonMains_P
"Cramond Road South",Silverknowes,"East Barnton Avenue","Cramond Road South",25.01,1B,P019_DavidsonMains_P
"Cranston Street","Old Town",Canongate,"East Market Street",107.7,1A,P001_CityCentreNorth
"Crewe Road Gardens",Royston,"Crewe Road Gardens","Crewe Road North",75.62,1B,P019_DavidsonMains_P
"Crewe Road Gardens",Royston,"West Pilton Place","Crewe Road Gardens",101.7,1B,P019_DavidsonMains_P
"Crewe Road North",,"Crewe Toll Roundabout","Crewe Road Gardens",284.7,1B,P026_Trinity
"Crewe Road North",,"Boswall Parkway","Royston Mains Crescent",158,1B,P026_Trinity
"Crewe Road North",,"Crewe Road Gardens","Crewe Road North",80.84,1B,P026_Trinity
"Crewe Road North",,"Crewe Road North","Pilton Avenue",43.57,1B,P026_Trinity
"Crewe Road North",,"Pilton Avenue","Crewe Loan",157.2,1B,P026_Trinity
"Crewe Road North",,"Crewe Loan","Boswall Parkway",156.3,1B,P026_Trinity
"Crewe Road North",,"Royston Mains Crescent","West Granton Road",88.48,1B,P026_Trinity
"Crewe Road South",,"End of cul de sac","Craigleith Hill Avenue",320.3,1B,P020_Blackhall_Craig
"Crewe Road South",,"Craigleith Hill Avenue","Crewe Road South",163.7,1B,P020_Blackhall_Craig
"Crewe Road South",,"Porterfield Road","West Woods",88.74,1B,P020_Blackhall_Craig
"Crewe Road South",,"Crewe Road South","Porterfield Road",105.7,1B,P020_Blackhall_Craig
"Crewe Road South",,"North Werber Park","Grigor Gardens",115,1B,P020_Blackhall_Craig
"Crewe Road South",,"Grigor Gardens","Grigor Avenue",163.8,1B,P020_Blackhall_Craig
"Crewe Road South",,"Davidson Road","North Werber Park",50.7,1B,P020_Blackhall_Craig
"Crewe Road South",,"West Woods","Davidson Road",122.1,1B,P020_Blackhall_Craig
"Crewe Road South",,"Grigor Avenue","Crewe Toll Roundabout",118.5,1B,P020_Blackhall_Craig
"Crighton Place",Albion,"Shrub Place","Leith Walk",104.7,1B,"P025_Leith Route"
"Croall Place",Broughton,"Shrub Place Lane","Brunswick Road",96.4,1B,"P025_Leith Route"
"Curriehill Road",Riccarton/muirwood,"Lanark Road West","Pentland View",93.17,1A,P008_Currie
"Curriehill Road",Riccarton/muirwood,"Riccarton Avenue","Forth View Crescent",111,1A,P008_Currie
"Curriehill Road",Riccarton/muirwood,"End of cul de sac","Forth View Crescent",129.5,1A,P008_Currie
"Curriehill Road",Riccarton/muirwood,"Forth View Crescent","Riccarton Avenue",130.9,1A,P008_Currie
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",66.25,1A,P008_Currie
"Currievale Drive",Curriehill,"Forth View Crescent","Currievale Drive",146.9,1A,P008_Currie
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",88.8,1A,P008_Currie
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Park",47.17,1A,P008_Currie
"Currievale Drive",Curriehill,"Currievale Drive","Currievale Drive",339.7,1A,P008_Currie
"Currievale Drive",Curriehill,"Currievale Park","End of cul de sac",90.78,1A,P008_Currie
"Cycle Track at Asda to Duddingston Park South",Duddingston,"End of cul de sac","Duddingston Park South",784.9,1B,CYC002_CityIR
"Cycle Track at King George IV Park",Broughton,"Logan Street","Warriston Walkway",194,1B,CYC001_North
"Cycle Track From Trinity Station To Caledonian Cycle Track",Warriston,"Cycle Track From Trinity To Heriot Hill","Cycle Track From Trinity Station To Lowe",548.8,1B,CYC001_North
"Cycle Track From Trinity Station To Lower Granton Road",Trinity,"Trinity Crescent","Cycle Track From Trinity Station To Cale",133.6,1B,CYC001_North
"Cycle Track From Trinity To Heriot Hill",Warriston,"Cycle Track From Trinity To Heriot Hill","Cycle Track From Trinity Station To Cale",235.4,1B,CYC001_North
"Cycle Track From Trinity To Heriot Hill",Warriston,"Warriston Walkway","Cycle Track From Trinity To Heriot Hill",712.5,1B,CYC001_North
"Cycle Track From Victoria Park To Stedfastgate",Warriston,"Cycle Track From Victoria Park To Stedfa","Warriston Walkway",243,1B,CYC001_North
"Cycle Track From Victoria Park To Stedfastgate",Warriston,"Caledonian Cycle Track","Cycle Track From Victoria Park To Stedfa",492.1,1B,CYC001_North
"Cycle Track Through Bingham Park",Bingham,"Cycle Track Through Bingham Park","End of cul de sac",738.3,1B,CYC002_CityIR
"Cycle Track Through Bingham Park",Bingham,"Duddingston Road West","Cycle Track Through Bingham Park",1219,1B,CYC002_CityIR
"Daiches Braes",Brunstane,"Brunstane Road South","End of cul de sac",641.6,1B,P023_Portobello
"Dalkeith Road",Prestonfield,"Holyrood Park Road","Holyrood Park Road",34.18,1B,CYC002_CityIR
"Dalkeith Road",Prestonfield,"Parkside Terrace","East Preston Street",51,1B,CYC002_CityIR
"Dalkeith Road",Prestonfield,"East Preston Street","Holyrood Park Road",77.19,1B,CYC002_CityIR
"Dalkeith Road",Prestonfield,"Holyrood Park Road","Salisbury Road",71.33,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Salisbury Road","Blacket Place",127.5,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Blacket Place","Blacket Avenue",95.87,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Cameron Crescent","Cameron Toll",33.78,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Blacket Avenue","Marchhall Place",108.5,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Marchhall Place","Mayfield Terrace",111.8,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Prestonfield Crescent","Cameron Park",58.22,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Prestonfield Gardens","Prestonfield Crescent",150.4,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Prestonfield Avenue","Prestonfield Gardens",138.7,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Kilmaurs Terrace","Prestonfield Avenue",141.4,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Queen's Crescent","Kilmaurs Terrace",84.21,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Priestfield Road","Queen's Crescent",54.41,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Mayfield Terrace","Priestfield Road",68.94,1B,P018_Sciennes_Newing
"Dalkeith Road",Prestonfield,"Lutton Place","Parkside Terrace",93.5,1B,CYC002_CityIR
"Dalmeny Street",Albion,"Buchanan Street","Leith Walk",101.2,1B,"P025_Leith Route"
"Dalmeny Street",Albion,"St Clair Street","Dickson Street",88.33,1B,"P025_Leith Route"
"Dalmeny Street",Albion,"Dickson Street","Sloan Street",91.03,1B,"P025_Leith Route"
"Dalmeny Street",Albion,"Sloan Street","Buchanan Street",104.6,1B,"P025_Leith Route"
"Dalry Road",Dalry,"End of cul de sac","Dalry Road",63.74,1B,P028_Roseburn
"Dalry Road",Dalry,"Murieston Crescent","Ardmillan Terrace",140.7,1B,P029_Gorgie_Slatefor
"Dalry Road",Dalry,"Dalry Road","West Park Place",56.04,1B,P028_Roseburn
"Dalry Road",Dalry,"Easter Dalry Road","Washington Street",59.05,1B,P028_Roseburn
"Dalry Road",Dalry,"Downfield Place","Murieston Crescent Lane",61.87,1B,P028_Roseburn
"Dalry Road",Dalry,"Murieston Crescent Lane","Murieston Crescent",81.69,1B,P029_Gorgie_Slatefor
"Dalry Road",Dalry,"Springwell Place","Downfield Place",63.13,1B,P028_Roseburn
"Dalry Road",Dalry,"Cathcart Place","Springwell Place",67.04,1B,P028_Roseburn
"Dalry Road",Dalry,"Washington Street","Cathcart Place",100.5,1B,P028_Roseburn
"Dalry Road",Dalry,"Orwell Place","Easter Dalry Road",48.98,1B,P028_Roseburn
"Dalry Road",Dalry,"West Park Place","Orwell Place",37.44,1B,P028_Roseburn
"Dalry Road",Dalry,"Richmond Terrace","Dalry Road",87.7,1B,P028_Roseburn
"Dalry Road",Dalry,"Dalry Place","Richmond Terrace",54.13,1B,P028_Roseburn
"Dalry Road",Dalry,"Dalry Place","Dalry Road",63.69,1B,P028_Roseburn
"Dalziel Place",Broughton,"Wishaw Terrace","London Road",163.2,1B,P024_Lochend_Restalr
"Dean Bank Lane",Stockbridge,"Saxe-Coburg Street","Hamilton Place",219.1,1B,P027_Stockbridge
"Dean Bridge",,"Dean Bridge","Bell's Brae",67.04,1A,P001_CityCentreNorth
"Dean Bridge",,"Eton Terrace","Dean Bridge",126.3,1A,P001_CityCentreNorth
"Dean Park Crescent",Stockbridge,"Queensferry Road","Learmonth Terrace",30.11,1B,P027_Stockbridge
"Dean Park Crescent",Stockbridge,"Learmonth Terrace","Comely Bank Avenue",64.35,1B,P027_Stockbridge
"Dean Park Crescent",Stockbridge,"Ann Street","Dean Street",50.85,1B,P027_Stockbridge
"Dean Park Crescent",Stockbridge,"Comely Bank Avenue","Ann Street",150.2,1B,P027_Stockbridge
"Dean Path",Stockbridge,"Dean Path","Belgrave Mews",217.1,1B,P027_Stockbridge
"Dean Path",Stockbridge,"Bell's Brae",Damside,33.64,1B,P027_Stockbridge
"Dean Path",Stockbridge,Damside,"Dean Path",80.82,1B,P027_Stockbridge
"Dean Path",Stockbridge,"Belgrave Mews","Ravelston Terrace",51.01,1B,P027_Stockbridge
"Dean Path",Stockbridge,"Queensferry Road","Ravelston Terrace",100.2,1B,P027_Stockbridge
"Dean Street",Stockbridge,"Bedford Court","Raeburn Street",96.18,1B,P027_Stockbridge
"Dean Street",Stockbridge,"Dean Park Crescent","Bedford Court",71.33,1B,P027_Stockbridge
"Dean Street",Stockbridge,"Raeburn Street","St Bernard's Row",151.7,1B,P027_Stockbridge
"Deanhaugh Street",Stockbridge,"St Bernard's Row","Haugh Street",48.83,1B,P027_Stockbridge
"Deanhaugh Street",Stockbridge,"Saunders Street","Haugh Street",88.92,1B,P027_Stockbridge
"Deanpark Avenue",Balerno,"Deanpark Grove","Deanpark Brae",80.03,1A,P007_Balerno
"Deanpark Avenue",Balerno,"Deanpark Grove","Deanpark Place",230.5,1A,P007_Balerno
"Deanpark Brae",Balerno,"Main Street","Deanpark Avenue",52.48,1A,P007_Balerno
"Deanpark Place",Balerno,"Deanpark Avenue","Marchbank Way",67.89,1A,P007_Balerno
"Devon Place",Roseburn,"West Coates","Stanhope Place",216.8,1B,P028_Roseburn
"Dolphin Avenue",Curriehill,"Dolphin Gardens East","End of cul de sac",62.6,1A,P007_Balerno
"Dolphin Avenue",Curriehill,"Dolphin Gardens East","Dolphin Road",145.9,1A,P007_Balerno
"Dolphin Avenue",Curriehill,"Dolphin Road","Lanark Road West",101,1A,P007_Balerno
"Dolphin Gardens East",Curriehill,"Dolphin Gardens West","Forth View Road",163.5,1A,P007_Balerno
"Dolphin Gardens West",Curriehill,"Dolphin Gardens West","Dolphin Gardens East",101.4,1A,P007_Balerno
"Dolphin Gardens West",Curriehill,"Dolphin Gardens West","Dolphin Gardens West",84.53,1A,P007_Balerno
"Dolphin Gardens West",Curriehill,"Dolphin Gardens West","Dolphin Gardens West",148.9,1A,P007_Balerno
"Dolphin Gardens West",Curriehill,"Stewart Gardens","Dolphin Gardens West",82.35,1A,P007_Balerno
"Dolphin Road",Curriehill,"Dolphin Avenue","Pentland Avenue",165.2,1A,P007_Balerno
"Downie Terrace",Murrayfield,"Corstorphine Road","Downie Grove",51.44,1B,P013_Corstorphine
"Downie Terrace",Murrayfield,"Downie Grove","Corstorphine Road",184.6,1B,P013_Corstorphine
"Dreghorn Loan",Redford,"Redford Drive","Dreghorn Loan",110.3,1A,P009_Colinton
"Dreghorn Loan",Redford,"Woodhall Road","Redford Drive",386.7,1A,P009_Colinton
"Drum Brae Crescent",Barnton,"Drum Brae Terrace","Drum Brae Grove",225.9,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Clermiston Drive","Drum Brae Drive",73.25,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Drum Brae Drive",43.42,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Drum Brae Drive",42.2,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Clermiston Road North","Drum Brae Drive",71.06,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Clermiston Gardens",241.8,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Clermiston Gardens","Hoseason Gardens",173.2,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Hoseason Gardens","Clermiston Drive",81.27,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Drum Brae Drive",125.6,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Drum Brae Drive",97.5,1B,P014_Clermiston_Cram
"Drum Brae Drive",Clerwood,"Drum Brae Drive","Drum Brae North",229.5,1B,P014_Clermiston_Cram
"Drum Brae North",Craigmount,"Parkgrove Drive","Queensferry Road",146.6,1B,P014_Clermiston_Cram
"Drum Brae North",Craigmount,"Drum Brae North","Parkgrove Drive",332.8,1B,P014_Clermiston_Cram
"Drum Brae North",Craigmount,"Drum Brae Drive","Drum Brae Terrace",96.3,1B,P014_Clermiston_Cram
"Drum Brae North",Craigmount,"Drum Brae Terrace","Drum Brae North",202.6,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Duart Crescent","Duart Crescent",111.9,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Duart Crescent","Drum Brae Drive",65.25,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Templeland Road","Pearce Avenue",72.38,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Pearce Avenue","Pearce Road",217.1,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Craigs Road","Templeland Road",53.35,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Glasgow Road","Corstorphine Bank Terrace",88.71,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Corstorphine Bank Terrace","Craigs Road",106.1,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Drum Brae Park","Drum Brae Avenue",187.5,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Craigmount View","Drum Brae Gardens",57.32,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Drum Brae Gardens","Drum Brae Park",122.8,1B,P014_Clermiston_Cram
"Drum Brae South",Craigmount,"Pearce Road","Craigmount View",37.51,1B,P013_Corstorphine
"Drum Brae South",Craigmount,"Drum Brae Avenue","Duart Crescent",131.5,1B,P014_Clermiston_Cram
"Drum Brae Terrace",Barnton,"Clermiston Drive","Drum Brae Grove",95.21,1B,P014_Clermiston_Cram
"Drum Brae Terrace",Barnton,"Drum Brae Grove","Drum Brae Crescent",64.03,1B,P014_Clermiston_Cram
"Drum Brae Terrace",Barnton,"Drum Brae North","Drum Brae Crescent",371.3,1B,P014_Clermiston_Cram
"Drum Street","Hyvots Bank","East Farm Of Gilmerton",Limefield,76.23,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank","Ferniehill Road","Newtoft Street",123.7,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank","Candlemaker's Park","Gilmerton Road",133.3,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank","Drum Cottages","Candlemaker's Park",96.85,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank",Limefield,"Drum Cottages",92.5,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank","Ravenscroft Street","East Farm Of Gilmerton",91.46,1A,P004_Inch_Moredun
"Drum Street","Hyvots Bank","Newtoft Street","Ravenscroft Street",128,1A,P004_Inch_Moredun
"Dublin Street",Broughton,"Albany Street","Dublin Meuse",91.48,1A,P001_CityCentreNorth
"Dublin Street",Broughton,"Dublin Meuse","Drummond Place",77.89,1A,P001_CityCentreNorth
"Dublin Street",Broughton,"Dublin Street Lane South","Queen Street",67.45,1A,P001_CityCentreNorth
"Dublin Street",Broughton,"Dublin Street Lane South","Albany Street",48.78,1A,P001_CityCentreNorth
"Duddingston Crescent",Magdalene,"Magdalene Drive","Duddingston Crescent",124.5,1B,P023_Portobello
"Duddingston Crescent",Magdalene,"Park Avenue","Milton Road West",80.81,1B,P023_Portobello
"Duddingston Crescent",Magdalene,"Bailie Place","Park Avenue",203,1B,P023_Portobello
"Duddingston Crescent",Magdalene,"Hope Lane","Bailie Place",247.4,1B,P023_Portobello
"Duddingston Crescent",Magdalene,"Duddingston Crescent","Hope Lane",83.51,1B,P023_Portobello
